no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,receipt,ride,receipt-ride,hour,startlat,startlon,endlat,endlon
4978,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:53,2022-05-04 오전 7:38:32,강북구,인수동,서대문구,신촌동,2022/05/04 7:00,2022/05/04 7:38,38,7,37.64,127.01,37.57,126.93
7626,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 7:10:02,2022-05-04 오전 7:34:05,강북구,번제2동,노원구,월계2동,2022/05/04 7:00,2022/05/04 7:34,34,7,37.63,127.04,37.63,127.05
9153,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:10,2022-05-04 오전 7:24:38,강서구,가양제3동,강서구,방화제2동,2022/05/04 7:00,2022/05/04 7:24,24,7,37.56,126.86,37.56,126.8
9153,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:53:12,2022-05-04 오전 8:17:46,강서구,화곡제3동,영등포구,양평제2동,2022/05/04 7:00,2022/05/04 8:17,77,7,37.54,126.83,37.53,126.89
8711,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 7:05:48,2022-05-04 오전 7:20:12,영등포구,대림제1동,서대문구,남가좌제2동,2022/05/04 7:00,2022/05/04 7:20,20,7,37.49,126.9,37.58,126.92
8579,대형 승용,2022-05-04 오전 7:00:00,2022-05-04 오전 6:53:13,2022-05-04 오전 7:16:22,성북구,돈암제2동,강남구,대치4동,2022/05/04 7:00,2022/05/04 7:16,16,7,37.59,127.01,37.5,127.05
1558,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:34:04,2022-05-04 오전 7:50:52,강북구,삼각산동,성북구,안암동,2022/05/04 7:00,2022/05/04 7:50,50,7,37.61,127.01,37.58,127.03
1558,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:06:03,2022-05-04 오전 7:20:39,성북구,삼선동,성북구,길음제2동,2022/05/04 7:00,2022/05/04 7:20,20,7,37.59,127.01,37.6,127.02
9156,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:04:23,2022-05-04 오전 7:19:53,구로구,구로제3동,구로구,구로제3동,2022/05/04 7:00,2022/05/04 7:19,19,7,37.48,126.89,37.48,126.89
3205,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 6:34:33,2022-05-04 오전 7:14:36,강북구,번제2동,영등포구,영등포동,2022/05/04 7:00,2022/05/04 7:14,14,7,37.63,127.04,37.52,126.9
3837,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 6:59:18,2022-05-04 오전 7:09:14,중랑구,면목제7동,종로구,종로5.6가동,2022/05/04 7:00,2022/05/04 7:09,9,7,37.58,127.08,37.57,127
3148,중형 승용,2022-05-04 오전 7:00:00,2022-05-04 오전 7:02:19,2022-05-04 오전 7:32:20,동대문구,장안제4동,은평구,구산동,2022/05/04 7:00,2022/05/04 7:32,32,7,37.57,127.07,37.6,126.9
3803,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:59,2022-05-04 오전 7:40:56,관악구,청림동,강남구,삼성1동,2022/05/04 7:00,2022/05/04 7:40,40,7,37.49,126.96,37.51,127.06
817,중형승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:05:50,2022-05-04 오전 7:22:20,송파구,풍납1동,강남구,삼성2동,2022/05/04 7:00,2022/05/04 7:22,22,7,37.53,127.12,37.51,127.05
8043,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:09:22,2022-05-04 오전 7:35:16,도봉구,방학제2동,종로구,종로1.2.3.4가동,2022/05/04 7:00,2022/05/04 7:35,35,7,37.67,127.03,37.57,126.98
8063,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:36,2022-05-04 오전 7:18:25,노원구,중계1동,중랑구,면목제3.8동,2022/05/04 7:00,2022/05/04 7:18,18,7,37.65,127.07,37.58,127.1
3571,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:08:56,2022-05-04 오전 7:29:06,영등포구,신길제4동,중구,명동,2022/05/04 7:00,2022/05/04 7:29,29,7,37.5,126.91,37.56,126.98
3208,중형승용,2022-05-04 오전 7:00:00,2022-05-04 오전 6:14:03,2022-05-04 오전 6:38:51,송파구,잠실2동,영등포구,양평제2동,2022/05/04 7:00,2022/05/04 6:38,22,7,37.51,127.08,37.53,126.89
8004,중형 승합,2022-05-04 오전 7:00:00,2022-05-04 오전 7:04:52,2022-05-04 오전 7:37:11,서대문구,홍은제2동,서대문구,북가좌제1동,2022/05/04 7:00,2022/05/04 7:37,37,7,37.58,126.93,37.57,126.91
